Table ac_average_period;;;;
"Table to save aircraft average cycles, hours etc. for a certain period of time";;;;
;sched_tah_at_arrival;TIME_AMO;int;"Calculated total aircraft hours after touchdown of the scheduled flight, in minutes"
;sched_tac_at_arrival;INT;int;"Calculated total aircraft cycles after touchdown of the scheduled flight"
;mutation;DATE;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE;int;"The creation date of this record as AMOS date."
Table ac_library;;;;
"default table description";;;;
Keys;Name;Mime-Type;Type;Description
;ac_type_label;AC;univarchar(100);"AC label from the library It is on purpose that it is not a foreign key of ac_type Maybe"
;wing_span;DOUBLE;float;""
;length_overall;DOUBLE;float;""
[P];ac_libraryno_i;INT;int;"Primary key  "
;mutation;DATE_INT;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE_INT;int;"The creation date of this record as AMOS date."
Table ac_mission;;;;
"Table to define the missons for an aircraft.";;;;
Keys;Name;Mime-Type;Type;Description
[P];ac_missionno_i;INT;int;"Primary key of the table. Internal parameter -336"
[I];aircraftno_i;AC_INT;int;"The foreign key to the aircraft."
[I];misson_config_no_i;INT;int;"The foreign key to the basic table aircraft mission_configuration."
;mutation;DATE_INT;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE_INT;int;"The creation date of this record as AMOS date."
Table ac_mission_configuration;;;;
"Basic table to save a configuration of an A/C or helicopter.";;;;
Keys;Name;Mime-Type;Type;Description
[U];ac_type;AT;univarchar(8);"AC Type of the Mission Configuration"
[P];ac_configurationno_i;INT;int;"Primary key of the table. "
;configuration;ALPHANUM;univarchar(30);"The A/C or helicopter configuration."
[U];code;ALPHANUM;univarchar(3);"The code / shorty for the configuration."
;mutation;DATE;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE;int;"The creation date of this record as AMOS date."
Table ac_rating;;;;
"Aircraft ratings";;;;
Keys;Name;Mime-Type;Type;Description
[U];ac_ratingno_i;INT;int;"ID of the table"
[P];ac_rating;ALPHANUM;univarchar(10);"code of aircraft rating"
[I];ac_rating_categoryno_i;INT;int;"link to the rating category for example thrust or weight"
;description;ALPHANUM;univarchar(36);"description of aircraft rating"
;mutation;DATE;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE;int;"The creation date of this record as AMOS date."
;uuid;ALPHANUM;univarchar(36);"Globally unique identifier"
Table ac_rating_category;;;;
"table to store the different caterory of ratings. i.e. Engine Thrust, Weight...";;;;
Keys;Name;Mime-Type;Type;Description
[P];ac_rating_categoryno_i;INT;int;"primary unique key of rating category"
;code;ALPHANUM;univarchar(10);"code of the rating category"
;description;ALPHANUM;univarchar(36);"description of the rating category"
;mutation;DATE_INT;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE_INT;int;"The creation date of this record as AMOS date."
;uuid;ALPHANUM;univarchar(36);"Globally unique identifier"
Table ac_suspension;;;;
"Used to define a suspension / resumption timeframe for an A/C";;;;
Keys;Name;Mime-Type;Type;Description
;remarks;ALPHANUM;unitext(1073741823);"Some remarks"
;value_double;DOUBLE;float;"Buffer column to store a double value"
;value_string;ALPHANUM;unitext(1073741823);"Buffer column to store an alphanumeric value"
;value_int;INT;int;"Buffer column to store a int value"
;resumption_time;TIME;int;"The resumption time"
;resumption_date;DATE_INT;int;"The resumption date"
;suspension_time;TIME;int;"The suspension time"
;suspension_date;DATE_INT;int;"The suspension date"
[I];aircraftno_i;AC_INT;int;"The aircraft suspended / resumed"
[P];ac_suspensionno_i;INT;int;"First column of the primary key"
;mutation;DATE_INT;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE_INT;int;"The creation date of this record as AMOS date."
Table ac_system;;;;
"Describes an aircraft system.";;;;
Keys;Name;Mime-Type;Type;Description
[P];systemno_i;INT;int;"Primary key"
;system;ALPHANUM;univarchar(50);"Display value of the system."
;description;ALPHANUM;univarchar(70);"Description of the aircraft system."
[I];ac_type;ALPHANUM;univarchar(6);"Aircraft type this system belongs to."
;mutation;DATE_INT;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE_INT;int;"The creation date of this record as AMOS date."
Table ac_typ;;;;
"contains all a/c types used throughout AMOS. A/C types that are not real operational A/C types do contain a `Y` in column non_operational.";;;;
Keys;Name;Mime-Type;Type;Description
;uuid;ALPHANUM;univarchar(36);"Globally unique identifier"
;use_blockhours;BOOL;univarchar(1);"Use Block Hours on MEL Transfer, if not enabled Flight Hours are used. Possible values: NULL: Undefined (default) Y: Block Hours are used"
;costcenter;CCT;univarchar(8);"Cost centres"
[U];ac_type_i;INT;int;"aircraft type number"
[P];ac_typ;AT;univarchar(6);"Aircraft type"
;description;ALPHANUM;univarchar(36);"Description of the aircraft type"
;main_typ;AT;univarchar(6);"Main type of the aircraft used as official IATA ac type code, e.g. interfaces."
;fa_ac_typ;FAT;univarchar(6);"financial A/C type."
;tcds;ALPHANUM;univarchar(20);"type certificate data sheet number given by the A/C manufacturer."
;non_operational;ALPHANUM;univarchar(2);"`Y` if the A/C type is a non-operational one, i.e. one that is required by certain AMOS application but does not represent a real A/C type. These A/C type are ignored in the books of certain applications."
;single_multi_pilot;BOOL;univarchar(1);"Single or Multi pilot. Definition taken from A/C Type Possible values: NULL: Undefined (default) S: Single M: Multi"
;ops_rating;INT;int;"reference to a ops_rating"
[I];counter_template_groupno_i;COTG;int;"Reference to the counter_template_group.counter_template_groupno_i"
;cd_def_transfer_days;INT;int;"Default transfer days for workorder created out of crew defects via an interface. The number of days is used as default in case no mel reference is defined."
;cd_def_transfer_cycles;INT;int;"Default transfer cycles for workorder created out of crew defects via an interface. The number of cycles is used as default in case no mel reference is defined."
;cd_def_transfer_flight_hours;TIME_AMO;univarchar(10);"Default transfer flight hours for workorder created out of crew defects via an interface. The number of flight hours is used as default in case no mel reference is defined."
;is_subtype;BOOL;univarchar(1);"Marker if it is an aircraft subtype which is the third highest level in the hierarchy."
;is_model;BOOL;univarchar(1);"Marker if it is an aircraft model which is the second highest level in the hierarchy."
;is_type;BOOL;univarchar(1);"Marker if it is an aircraft type which is the highest level in the hierarchy."
;mutation;DATE;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE;int;"The creation date of this record as AMOS date."
Table ac_util_changes;;;;
"This table contains data about changes in Total Aircraft Hours (TAH) resp. Total Aircraft Cycles (TAC), which occurred for arrived legs.";;;;
Keys;Name;Mime-Type;Type;Description
[P];changeno_i;INT;int;"AMOS-wide unique identifier for a change in TAH or TAC, which occurred for an arrived leg."
[U];legno_i;LEG;int;"AMOS-wide unique identifier for a leg."
[U,I];legno_i_sort_id;INT;int;"This column can be used to sort the entries, in case that for one certain leg, several changes in TAH or TAC have occurred for that particular leg. The higher this sort ID is, the newer is the change in TAH or TAC."
;source_of_change;INT;int;"Defines, what was the originator for the change in TAH or TAC: 1 = Netline import of data 2 = Manual change in module ""Aircraft Utilization"""
[I];foreign_recno;INT;int;"In case that the Netline import of data was the originator for the change in TAH or TAC (see column ""source_of_change""), then this column specifies the column ""recno"" in the table ""ac_util_netl_two_hist"" (in addition to the matching ""legno_i""), where the originating data set can be found."
;processed_by_workflow;BOOL;univarchar(1);"This column should only be used by the dedicated workflow, which is a separate process and can notify users of a change in TAH or TAC. When notification is done, this column is set to ""Y""."
;old_tah_minutes;TIME_AMO;int;"The TAH (measured in minutes) of the leg, before the change in TAH or TAC happened."
;delta_tah_minutes;TIME_AMO;int;"The delta (measured in minutes) of the new TAH of the leg, compared to the old TAH. Note: This value can also be zero, if only the TAC of this leg has changed. E.g.: Old TAH: 5000:00 hours, New TAH: 5001:25 hours, so delta is: + 85 minutes."
;old_tac;INT;int;"The TAC of the leg, before the change in TAH or TAC happened."
;delta_tac;INT;int;"The delta of the new TAC of the leg, compared to the old TAC. Note: This value can also be zero, if only the TAH of this leg has changed. E.g.: Old TAC: 3000 cycles, New TAC: 2998 cycles, so delta is: - 2 cycles."
;mutation;DATE;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE;int;"The creation date of this record as AMOS date."
Table ac_util_netl_two_hist;;;;
"This table contains Netline-specific data which has been imported via the Netline system with the Netline phase 2 protocol. This protocol contains information about arrived legs, future legs, delays and cancellations of legs and maintenance blocks in the Netline system.";;;;
Keys;Name;Mime-Type;Type;Description
[P];legno_i;LEG;int;"AMOS-wide unique identifier for a leg"
[P,I,I];recno;INT;int;"Continuous number for multiple appearance of the same leg"
[I,I];netline_leg_id;INT;int;"The unique identifier for the leg within the Netline system"
;fn_carrier;ALPHANUM;univarchar(3);"Operator part of the flight number"
;fn_number;INT;int;"Number part of the flight number"
;fn_suffix;ALPHANUM;univarchar(1);"In the Netline system: additional code for the leg"
;service_type;ALPHANUM;univarchar(1);"Standard code, which identifies the purpose of the leg, e.g. J = Service Normal; C = Charter; P = Ferry; T = Technical Test; K = Training"
[I];ac_registr;AC;univarchar(6);"Aircraft registration of the leg"
[I,I];sched_offb_dep_date;DATE_INT;int;"Scheduled off-block departure date of the leg"
;sched_offb_dep_time;TIME;int;"Scheduled off-block departure time of the leg, in minutes"
[I];sched_onbl_arr_date;DATE_INT;int;"Scheduled on-block arrival date of the leg"
;sched_onbl_arr_time;TIME;int;"Scheduled on-block arrival time of the leg, in minutes"
;sched_dep_airp;STA;univarchar(4);"Scheduled departure airport of the leg"
;sched_arr_airp;STA;univarchar(4);"Scheduled arrival airport of the leg"
[I];offb_dep_date;DATE_INT;int;"Real off-block departure date of the leg"
;offb_dep_time;TIME;int;"Real off-block departure time of the leg, in minutes"
;onbl_arr_date;DATE_INT;int;"Real on-block arrival date of the leg"
;onbl_arr_time;TIME;int;"Real on-block arrival time of the leg, in minutes"
;dep_airp;STA;univarchar(4);"Real departure airport of the leg"
;arr_airp;STA;univarchar(4);"Real arrival airport of the leg"
;leg_cycles;INT;int;"Number of cycles for the leg (touchdowns)"
;tah_minutes;TIME_AMO;int;"Calculated total aircraft hours for the arrival of the leg, in minutes"
;tac;INT;int;"Calculated total aircraft cycles for the arrival of the leg"
[I];entry_date;DATE_INT;int;"Creation date of the imported data entry in the external Netline system"
[I];entry_seconds;INT;int;"Creation time of the imported data entry in the external Netline system, in seconds"
;airborne_date;DATE_INT;int;"Airborne date of the leg. This value is taken to calculate the length of the leg, which is then after the landing added to the total aircraft hours performed by this aircraft."
;airborne_time;TIME;int;"Airborne time of the leg, in minutes. This value is taken to calculate the length of the leg, which is then after the landing added to the total aircraft hours performed by this aircraft."
;landing_date;DATE_INT;int;"Touchdown date of the leg. This value is taken to calculate the length of the leg, which is then after the landing added to the total aircraft hours performed by this aircraft."
;landing_time;TIME;int;"Touchdown time of the leg, in minutes. This value is taken to calculate the length of the leg, which is then after the landing added to the total aircraft hours performed by this aircraft."
[I];leg_state;ALPHANUM;univarchar(3);"A Netline-specific code, which describes the current state of the leg. Possible values are e.g. SKD = planned leg; CNL = cancelled leg; OUT = off-block; DEP = airborne; ON = landed; ARR = arrived on-block"
;delay_code_1;DELAY;univarchar(5);"IATA delay code, e.g. 41 = AIRCRAFT DEFECTS"
;delay_time_1;TIME_AMO;int;"Delay time, in minutes"
;delay_code_2;DELAY;univarchar(5);"IATA delay code, e.g. 41 = AIRCRAFT DEFECTS"
;delay_time_2;TIME_AMO;int;"Delay time, in minutes"
;delay_code_3;DELAY;univarchar(5);"IATA delay code, e.g. 41 = AIRCRAFT DEFECTS"
;delay_time_3;TIME_AMO;int;"Delay time, in minutes"
;to_delay_code;DELAY;univarchar(5);"IATA delay code, e.g. 41 = AIRCRAFT DEFECTS"
;to_delay_time;TIME_AMO;int;"Delay time, in minutes"
;div_reason;ALPHANUM;univarchar(5);"A Netline-specific code, which describes the eventual diversion reason of the leg."
;dep_stand;ALPHANUM;univarchar(6);"Information about the off-block location / stand of the aircraft before departure"
;arr_stand;ALPHANUM;univarchar(6);"Information about the on-block location / stand of the aircraft after arrival"
;pax_booked;INT;int;"Number of the passengers booked on the leg"
;pax_flown;INT;int;"Number of the passengers who flew the leg"
Table ac_utilization;;;;
"This table contains data about arrived legs. You find information about the history of the legs for the aircraft. Based on this, calculations can be performed.";;;;
Keys;Name;Mime-Type;Type;Description
;ext_system_leg_id;INT;int;"External key to uniquely identify this leg in the data delivering legacy system."
;fn_suffix;ALPHANUM;univarchar(1);"Suffix which is appended to the usual flight number when it is delayed in order to help on distinction with regular flights."
[P,I,I];legno_i;LEG;int;"AMOS-wide unique identifier for a leg"
[I,I,I,I];ac_registr;AC;univarchar(6);"Aircraft registration of the leg"
[I,I];validity;DATE_INT;int;"Real arrival date of the leg. This value is meant to be the landing / touchdown date of the leg (and not the on-block date of the leg)"
[I,I];recno;INT;int;"Continuous number to be able to sort the legs by aircraft and arrival_date. The value 0 means, that this leg is a so called ""null leg"" (the aircraft actually didn`t fly on that day). The value 1 means the first leg of that aircraft on that day, the value 2 the second leg of that aircraft on that day, etc."
;null_leg_commited;INT;int;"If the column ""recno"" has the value 0, then this column ""null_leg_commited"" describes, whether the ""null leg"" of the aircraft on that day is confirmed (then the TAH and TAC values of the aircraft can be updated) or is unconfirmed (i.e. there is still the possibility that leg data for that aircraft and day exists, but it`s not in the AMOS system yet and therefore, the TAH and TAC values of the aircraft can NOT be updated)."
;leg_number;ALPHANUM;univarchar(8);"Flight number of the leg (carrier + number). The optional flight suffix is not part of the leg_number column and is always in the dedicated fn_suffix column. Please be aware that the fn_carrier and fn_number columns are only filled by interface and not for flights entered in APN 206 or APN 1573."
;fn_carrier;ALPHANUM;univarchar(3);"Operator part of the flight number of the leg. Please be aware that this column is only filled by interface and not for flights entered in APN 206 or APN 1573."
;fn_number;INT;int;"Number part of the flight number of the leg. Please be aware that this column is only filled by interface and not for flights entered in APN 206 or APN 1573."
;service_type;ALPHANUM;univarchar(1);"Standard code, which identifies the purpose of the leg, e.g. J = Service Normal; C = Charter; P = Ferry; T = Technical Test; K = Training"
[I];netline_leg_id;INT;int;"Note: this database column is solely used by the AMOS ""Simulator"" modules (Flight Training companies). This means that for ""normal"" AMOS Customers operating or managing Aircraft / Helicopters, this DB column is not being filled anymore, effective with AMOS Stable V11.00. If you use a Netline System to import flight data: look in DB Table ""ac_util_netl_detail"", column ""netline_leg_id"" in case you want to retrieve the corresponding Netline-internal ID of a flight by matching the AMOS flight`s unique DB key ""ac_utilization.legno_i"" with ""ac_util_netl_detail.legno_i"". If you use some other FlightOPS system (e.g. AIMS, PDC.dk): look in DB Table ""leg_additional"", column ""ext_system_leg_id"" in case you want to retrieve the corresponding OPS System-internal ID of a flight (if that ID is provided at all, might be NULL if not supported by OPS System) by matching the AMOS flight`s unique DB key ""ac_utilization.legno_i"" with ""leg_additional.legno_i""."
[I];departure_date;DATE_INT;int;"Departure date of the leg. This value is meant to be the airborne date of the leg (and not the off-block date of the leg)"
;departure_time;TIME;int;"Departure time of the leg, in minutes. This value is meant to be the airborne time of the leg (and not the off-block time of the leg)"
;departure;STA;univarchar(4);"The real departure airport of the leg"
[I];sched_departure_date;DATE_INT;int;"Scheduled departure date of the leg"
;sched_departure_time;TIME;int;"Scheduled departure time of the leg, in minutes"
;sched_departure_airport;STA;univarchar(4);"Scheduled departure airport of the leg"
;arrival_time;TIME;int;"Arrival time of the leg, in minutes. This value is meant to be the landing / touchdown time of the leg (and not the on-block time of the leg). Note: to work with the arrival date of the leg, use the column ""validity"" in this table."
[I,I];arrival;STA;univarchar(4);"The real arrival airport of the leg"
[I];sched_arrival_date;DATE_INT;int;"Scheduled arrival date of the leg"
;sched_arrival_time;TIME;int;"Scheduled arrival time of the leg, in minutes"
;sched_arrival_airport;STA;univarchar(4);"Scheduled arrival airport of the leg"
;daily_hours;TIME_AMO;float;"Duration of the leg, in minutes"
;daily_cycles;DOUBLE;float;"Number of cycles for the leg (touchdowns)"
[I,I,I];tah;TIME_AMO;int;"Total aircraft hours for the aircraft after touchdown of the leg, in minutes"
[I,I,I];tac;INT;int;"Total aircraft cycles for the aircraft after touchdown of the leg"
;special_flight_type;ALPHANUM;univarchar(2);"Similar to the column ""service_type"", but contains an additional AMOS internal standard code, which identifies the purpose of the leg, e.g. NL = null leg"
;mutation;DATE;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE;int;"The creation date of this record as AMOS date."
Table acars_message;;;;
"This table contains data about ACARS message.";;;;
Keys;Name;Mime-Type;Type;Description
[I];legno_i;LEG;int;"Primary key for future flights"
;reference_message_id;ALPHANUM;univarchar(80);"Reference message identifier"
;message_id;ALPHANUM;univarchar(80);"message identifier"
;arrival_station;STA;univarchar(4);"Arrival station of the aircraft affected."
